First Name,Last Name,Designation,Company,Country
Eddy Kusnadi,Sariaatmadja,Owner,Elang Mahkota Teknologi,Indonesia
Hasyim,Siraj,Head of Business Development,DayaLima Abisatya,Indonesia
Martua,Sitorus,Co-Founder (former Wilmar International executive),Gama Corporation,Indonesia
Edwin,Soeryadjaya,President Commissioner,PT Saratoga Investama Sedaya Tbk,Indonesia
Peter,Sondakh,Founder & Chairman,Rajawali Corpora,Indonesia
Eddy,Sugianto,Senior Executive (Director-level),PT Barito Pacific Group,Indonesia
Otto Toto,Sugiri,Co-Founder & President Director (CEO),PT DCI Indonesia Tbk,Indonesia
Djoko,Susanto,Founder & President Director,PT Sumber Alfaria Trijaya Tbk (Alfamart),Indonesia
Bambang,Sutantio,Founder & President Commissioner,PT Diamond Food Indonesia Tbk,Indonesia
James,T. Riady,Deputy Chairman,Lippo Group,Indonesia
Dato' Sri,Tahir,Founder; Member of Presidential Advisory Council,Mayapada Group / Presidential Advisory Council,Indonesia
Chairul,Tanjung,Founder & Chairman,CT Corp,Indonesia
Hary,Tanoesoedibjo,Founder & Executive Chairman,MNC Group (Media Nusantara Citra etc.),Indonesia
Hermanto,Tanoko,Founder & Chairman,Tanrise Property / Avia Avian,Indonesia
Anderson,Tanoto,Board of Trustees,Tanoto Foundation,Indonesia
Sukanto,Tanoto,Founder & Chairman,Royal Golden Eagle (RGE),Indonesia
Haryanto,Tjiptodihardjo,President Director,PT Impack Pratama Industri Tbk,Indonesia
Low,Tuck Kwong,Founder & President Director,PT Bayan Resources Tbk,Indonesia
Gracia,Ugut,Executive Director and Founder,LIPPO Education,Indonesia
Franky,Widjaja,Chairman and CEO,Golden Agri-Resources,Indonesia
Jesslyne,Widjaja,Executive Director,Golden Agri Resources,Indonesia
Lim Hariyanto,Wijaya Sarwono,Chairman,Harita Group,Indonesia
Yuri,Yogaswara,President Director,Daya Dimensi Indonesia,Indonesia
Kim,Beom-su,Founder & Chairman,Kakao Corp,South Korea
Koo,Bon-neung,Chairman,Heesung Group,South Korea
Koo,Bon-sik,Vice Chairman,Heesung Group,South Korea
Lee,Boo-jin,President & CEO,Hotel Shilla,South Korea
Chang,Byung-gyu,Founder & Chairman,"Krafton, Inc.",South Korea
Kim,Byunghoon,CEO,Medipost,South Korea
Shin,Chang-jae,Chairman & CEO,Kyobo Life Insurance,South Korea
