First Name,Last Name,Designation,Company,Country
Hamdan Bin,Mohamad,President and CEO,Ranhill Berhad,Malaysia
Lee Yeow,Seng,Group Chief Executive Officer,IOI Properties Group Berhad,Malaysia
Yuen Tuck,Siew,Chief Executive Officer,Jirnexu,Malaysia
Anthony,Tan,CEO,Grab,Malaysia
Lim Kok,Thay,Executive Chairman,Genting Berhad,Malaysia
Lee Thiam,Wah,Founder & CEO (Managing Director),99 Speedmart Retail Holdings,Malaysia
Kie Chie,Wong,Major shareholder,Fortescue Metals Group,Malaysia
Tan Yu,Yeh,"Advisor (Founder; ex‑Executive Vice Chairman, resigned 17 Apr 2025)",MR D.I.Y. Group (M) Berhad,Malaysia
Vivy Sofinas,Yusof,CEO,FashionValet,Malaysia
Helder,Bataglia,CEO,Escom,South Africa
Koos,Bekker,Former CEO,Naspers,South Africa
Terry,Booysen,CEO,CGF Research Institute (Pty) Ltd,South Africa
Lawrie,Brozin,Director,Nandos,South Africa
lan,Cockerill,CEO,Endeavour Mining,South Africa
Colin,Coleman,Member of the Board of Advisors,"Mercury Public Affairs, LLC",South Africa
Senator,Daggash,Nigerian Government / Private Sector,Former Senator & Minister; active in advisory/private roles,South Africa
Clifford,Dewell,Director Middle East,Paramount International Marketing,South Africa
Prieur,Du Plessis,Founding Partner,Sagewise Holdings Ltd,South Africa
Rob,Hersov,Chairman,African Gold Acquisition Corporation,South Africa
Hadeel,Ibrahim,Executive Director,Mo Ibrahim Foundation,South Africa
Ivor,Ichikowitz,Former executive chairman,Paramount Group,South Africa
Nizam,Kalla,Managing Director,Amka Products (Pty) Ltd,South Africa
Olivier,Laouchez,"Co-Founder, Chairman & CEO",TRACE,South Africa
Michiel,Le Roux,Founder,Capitec Bank,South Africa
HM Kgosi,Leruo Motolegi,"36th kgosi, or king",Royal Bafokeng Nation,South Africa
Seedy,Lette,Owner,global Africa Consulting,South Africa
Badian,Maasdorp,Director,Yard Investment Holdings,South Africa
Ron,Mackenzie,Founder,The Safari Guys,South Africa
Tshepo,Mahloele,Founder and Chairman,Lebashe Investment Group,South Africa
Jacko,Maree,Former Chief Executive,Standard Bank Group,South Africa
Daphne,Mashile-Nkosi,Executive Chairman,Kalagadi Manganese Pty Ltd,South Africa
Busisiwe,Mavuso,Chief executive officer,Business Leadership South Africa.,South Africa
Brian,Menell,CEO,TechMet Ltd,South Africa
Rick,Menell,Board and Management Roles,"Mining, Engineering and Finance Companies",South Africa
Sibani,Mngomezulu,Director,Luvivi Corporate Governance,South Africa
Saul,Molobi,CEO,Brandhill Africa (Pty) Ltd,South Africa
Patrice & Precious,Motsepe,Founder & Executive Chairman; President of CAF,African Rainbow Minerals / Confederation of African Football,South Africa
Jannie,Mouton & Family,Founder,PSG Group,South Africa
Lesley,Ndlovu,CEO,African Risk Capacity (ARC),South Africa
Stavros,Nicolaou,Group Senior Executive,Aspen Pharma Group,South Africa
Nicky,Oppenheimer,Chairman,De Beers,South Africa
Peter,Paul New Abah,Founder,African Direct Foreign Investment Hub inc,South Africa
Robin,Perks,CEO,Aperture Group and ExpandAfrica,South Africa
Sariel,Polatinsky,Africa Head of Base Metals and Mining,Barak Fund Management,South Africa
Johann,Rupert,Chairman,Richemont and Remgro,South Africa
George,Sebulela,President & Group Chief Executive,Sebvest Financial Services Group,South Africa
Iqbal,Surve,Chairman,Sekunjalo Investment Holdings,South Africa
Rabelin,Tchoumi,CEO,Diaspora capital,South Africa
Vusi,Thembekwayo,Founder and CEO,MyGrowthFund Venture Partners,South Africa
Lloyd,West,Managing Director,Fidelia Partners,South Africa
Christoffel,Wiese,Investor & Former Chairman; active in private investments,Shoprite / Pepkor / Investments,South Africa
Lwanda,Zingitwa,Corporate Financier,Rand Merchant Bank,South Africa
Jacko,Maree,Deputy Chairman / Board Member,Standard Bank Group,South Africa
Mosima,"Gabriel ""Tokyo"" Sexwale",Founder & Businessman; former politician,Mvelaphanda Group,South Africa
Amb Sadick,Jaffer,Advisory Board Member,CapeBPO,South Africa
Ashok,Sewanarain,Founder & Chairman,IBV International Vaults,South Africa
Ameen,Abdul,Chairman,Downlink Solutions,Nigeria
Wura Z Z,Abiola,Managing Director,Management Transformation Ltd.,Nigeria
Banjo,Adegbohungbe,Managing Director,Coronation Merchant Bank,Nigeria
Mike,Adenuga,Chairman,Globacom,Nigeria
Adebayo,Adewolu (Aigboje Imoukhuede),Chief Executive Officer,Trium Limited,Nigeria
Bola,Adigun,Partner,Deloitte,Nigeria
Dade,Adio-Moses,Director,Elektron Renewables,Nigeria
Aigboje,Aig-Imoukhuede,Chairman,Coronation Capital,Nigeria
Cyril,Akika,Managing Director,CityCode Investment Limited,Nigeria
Toye Akintoye,Akindele,CEO,Platform Capital Group,Nigeria
Jide,Akinyede,Executive Director,Pena oil and Gas Nig Ltd,Nigeria
Olatunbosun,Alake,"Honorable Commissioner, Innovation Science & Technology",Lagos State Government,Nigeria
Haresh,Aswani,Managing Director - Africa,Tolaram,Nigeria
Abubaker,Bagudu,Ministry of Budget and Economic Planning,Minister of Budget and Economic Planning of Nigeria,Nigeria
Gary,Bire,Chairman,DELTA INTEGRATED DEVELOPMENT PROGRAMME,Nigeria
Ronald,Chagoury Jr,Business Development Lead; Project Representative,The Chagoury Group / Eko Atlantic,Nigeria
Aditya,Chellaram,Executive director and CEO,Chellarams PLC,Nigeria
Suresh,Chellaram,Chairman,Chellarams Group Plc,Nigeria
Aliko,Dangote,Founder/CEO,Dangote Group,Nigeria
Serge,Dassas,Director,Elektrint (Nigeria) Limited,Nigeria
Tony O.,Elumelu,Chairman,Heirs Holdings,Nigeria
Maya (US) Horgan,Famodu,Founder and Partner,Ingressive Capital,Nigeria
Tunde,Folawiyo,Chairman,Yinka Folawiyo Group,Nigeria
Dade,Guy,Director,Elektron Renewables,Nigeria
Murli,Kewalram Chanrai,Chairman,Kewalram Chanrai Group,Nigeria
"Constantine  
Helen Afren",Labi,Director/Board Member,Petralon Energy Ltd.,Nigeria
Simi,Nwogugu,CEO,JA Africa,Nigeria
Col Paul,Obi,Former Administrator,"Bayelsa State, Nigeria",Nigeria
UjuUzo,Ojinnaka,CEO,Traders of Africa (TofA),Nigeria
Ben Ifeanyi,Okoye,Chairman,Dsv Pipetronix Ltd,Nigeria
Femi,Otedola,Chairman,Forte Oil PLC,Nigeria
Abdulsamad,Rabiu,Chairman,BUA Group,Nigeria
Bola,Shagaya,CEO,Bolmus Group International,Nigeria
Adetokunbo,Sijuwade,Group Managing Director,Okunade Sijuwade Holdings Limited,Nigeria
Jide,Taiwo,Founder (Estate Surveyors & Valuers),Jide Taiwo & Co.,Nigeria
Dada,Thomas,CEO,Frontier Oil Limited,Nigeria
Prince,Toks,CEO,-,Nigeria
Rewa,Udoji,"Director
Founder","Chapel Hill Denham
Cranstoun Corporation",Nigeria
Bernard,Andrzejewski,President of the Management Board (CEO),PPG Polifarb Cieszyn S.A.,Poland
Tomasz,Biernacki,Founder & Main Shareholder,Dino Polska,Poland
Rafal,Brzoska,Founder & CEO,InPost,Poland
Igor,Chalupec,Founder & Owner,ICENTIS Capital,Poland
Wojciech,J. Kostrzewa,President & CEO (also chairs Polish Business Roundtable),ITI Corporation,Poland
Andrzej ,Jacaszek,"Vice President & Managing Director (also Board roles at Marvipol Development, MCI Capital ASI, BAH)",ICAN Institute,Poland
Angelika,Jarosławska Sapieha,President of the Board,Royal Bridge Family Office,Poland
Zbigniew,Juroszek,Founder & CEO,Atal S.A.,Poland
Dominika,Kulczyk,Chairwoman & Board Member,Kulczyk Holding / Polenergia SA,Poland
Sebastian,Kulczyk,Founder / CEO,Manta Ray VC / Kulczyk Investments,Poland
Pawel,Marchewka,Founder & CEO,Techland,Poland
Dariusz,Milek,Founder & CEO,CCC SA,Poland
Włodzimierz,Paszkowski,Chairman of the Board,Norblin Capital Group,Poland
Wictor,Schmidt,Co-Founder and Executive Chairman,Netguru,Poland
Zygmunt,Solorz,Founder & Major Owner,Polsat / Cyfrowy Polsat Group,Poland
Michal,Solowow,Owner / Main Shareholder,"Synthos, Cersanit, Barlinek (and others)",Poland
Kinga,Stanisławska,Founder & Managing Partner,Experior Venture Fund,Poland
Jerzy,Starak,Owner,Polpharma / Polpharma Biologics,Poland
Alle,Ypma,Member of the Supervisory Board,Grupa Żywiec S.A.,Poland
Qusai,A. AISaif,CEO & Managing Director,Sadu Capital,Saudi Arabia
Amr,A. Al-Dabbagh,Chairman of the Board,Saudi Arabian General Investment Authority (SAGIA),Saudi Arabia
Khalid,A. Alireza,Chairman,Xenel,Saudi Arabia
Khaled,A. Juffali,Chairman,E.A. Juffali & Brothers,Saudi Arabia
Adnan,A. Soufi,Founder & Chairman,DAS Partners,Saudi Arabia
Mohammad,Abdelqader,Managing Director,GCC,Saudi Arabia
Adnan,Abduljawad,CEO,Vibgyor,Saudi Arabia
Mohammad,Abdullah Abunayyan,Founder and Chairman of the board of directors,ACWA Power,Saudi Arabia
Adwa,AbdulrahmanAlarifi,Deputy Minister,Ministry of Sports,Saudi Arabia
Ramzi,Abukhadra,Managing Partner,Mayaasim Al Khaleej,Saudi Arabia
Ali,Abulhasan,Co-Founder & CEO,Tap Payments,Saudi Arabia
Rakkan,AbuNayyan,Board Member,Abunayyan Holding,Saudi Arabia
H.E. Muna,AbuSulayman,Founder,Transformational Leadership Impact Fellowship,Saudi Arabia
Mohamed,Al Abbar,Founder & Chairman,Emaar Properties,Saudi Arabia
Badr,Al Asaker,Secretary General,King Salman Youth center,Saudi Arabia
Badr,Al Badr,CEO,Misk Foundation,Saudi Arabia
Abdulaziz M.,Al Gudaimi,EIG Chairman MENA Region,EIG,Saudi Arabia
Sulaiman,Al Habib,Founder & Chairman,Dr. Sulaiman Al Habib Medical Group,Saudi Arabia
Mohammed,Al Hammad,Center of Excellence Director,Principal Buyer | Saudi Power Procurement Company,Saudi Arabia
Saleh,Al Helaissi,Board Member,Saudi Arabian Cooperative Insurance Company (SAICO),Saudi Arabia
Waleed bin Ibrahim,Al Ibrahim,Founder & Chairman,MBC Group,Saudi Arabia
Mohammed,Al Jasser,Chairman,Cipher,Saudi Arabia
Adel,Al Jubeir,Minister of State for Foreign Affairs,Saudi Arabia,Saudi Arabia
Majid,Al Kasabi,Minister of Commerce,Ministry of Commerce of Saudi Arabia,Saudi Arabia
Firas,Al Kassim,Board Member,GARMIN DARMOJA KSA,Saudi Arabia
Husam,Al Madani,Managing Director - A PIF Company,Public Investment Fund (PIF),Saudi Arabia
Manar,Al Moneef,Chief Investment Officer,NEOM,Saudi Arabia
Essam A.K.,Al Muhaidib,Chief Executive Officer,Al Muhaidib Group,Saudi Arabia
Emad,Al Muhaidib,Senior Executive / Family Stakeholder,Al Muhaidib Group,Saudi Arabia
Sulaiman,Al Muhaidib,Chairman,Al Muhaidib Group,Saudi Arabia
Sultan,Al Musallam,Deputy Minister,Tourism for International Affairs,Saudi Arabia
Abdullah Amer,Al Nahdi,Founder & Chairman,Nahdi Medical Company,Saudi Arabia
Abdullah,Al Othaim,Chairman,Al Othaim Holding / Abdullah Al Othaim Markets,Saudi Arabia
Aziz,Al Othman,Group CEO,Al Othman Holding,Saudi Arabia
Khaled A.,Al Qahtani,CEO,Abdulhadi A. Al Qahtani Sons Group,Saudi Arabia
Abdullah bin Sulaiman,Al Rajhi,Chairman of the Board,Al Rajhi Bank,Saudi Arabia
Khalid Abdul Rahman Saleh,Al Rajhi,Board Member / Family Investor,Al Rajhi Bank / Al Rajhi Family Office,Saudi Arabia
Naif A.S,Al Rasheed,Founding Partner,3 Ventures Saudi Arabia,Saudi Arabia
Hassan,al Salem,Minister plenipotentiary,Ministry of Foreign Affairs,Saudi Arabia
HRH Haifa,Al Saud,Vice Minister of Tourism,Kingdom of Saudi Arabia,Saudi Arabia
Mazin,Al Shanbari,Chief Investment Officer,Jada Fund of Funds,Saudi Arabia
Saleh,Al Sheikh,"Minister of State, Member of the Council of Ministers and the Council of Political and Security Affairs",Saudi Arabia,Saudi Arabia
Muhammed,Al Shiha,MENA Direct Investments,Public Investment Fund (PIF),Saudi Arabia
Abdulrahman,Al Suhaymi,COO,The Venture Capital and Private Equity Association,Saudi Arabia
Nouf,Al Zamil,Board Member,Endeavor Saudi Arabia,Saudi Arabia
Mohammed,Al- Sowaidi,Head,Qatar Investment Authority Advisory,Saudi Arabia
HRH Nabeel,Al-Amudi,CEO,Olayan Financing Company,Saudi Arabia
Amr,Al-Dabbagh,Chairman and CEO,AL DABBAGH GROUP,Saudi Arabia
Turki,Al-Faisal,Chairman,King Faisal Foundation's Center for Research and Islamic Studies,Saudi Arabia
Mohamed,Al-Khereiji,CEO,Engineer Holding Group,Saudi Arabia
Rabab,Al-Mahassen,Managing Director,AL-MAHASSEN GROUP,Saudi Arabia
Nadhmi,Al-Nasr,Chief Executive Officer,NEOM,Saudi Arabia
Haitham,Al-Ohali,Vice Minister,"Ministry of Communications & IT, Saudi Arabia",Saudi Arabia
Yaser,Al-Onaizan,CEO,SDAIA,Saudi Arabia
Hamad Ali,Al-Sagri,Chairman,Al-Sagri Group,Saudi Arabia
Dimah,Al-Sheikh,Executive Director,Misk Foundation,Saudi Arabia
Talal,Alajou,Co-Founder,Amana Global Partners,Saudi Arabia
Faysall,Alaquil,Chief Executive Officer,Falcons Esports,Saudi Arabia
H.E. Mohammed,Alariefy,Assistant Deputy Minister for Entrepreneurship,Ministry of Communications and Information Technology of Saudi Arabia,Saudi Arabia
Sarah,Alashban,Partner,Khwarizmi Partners,Saudi Arabia
Adel,Alateeq,Chief Executive Officer,Jada Fund of Funds,Saudi Arabia
Shihana,Alazzaz,Chairwoman of Board of Directors,Saudi Authority for Intellectual Property,Saudi Arabia
Fares,AlBalwi,Chairman,ABG,Saudi Arabia
Nouf,Aldakhil,Chief of Staff,Savvy Games Group,Saudi Arabia
Khalid,Aldakkan,SVP Innovation,KACST,Saudi Arabia
H.E. Ahmed,Alhakbani,Co-Founder and CEO,SiFi.app,Saudi Arabia
Amr,Aljallal,Managing Director & CEO,Namara Investments,Saudi Arabia
Yasser,Alkadi,Managing Director - Co Founder,Khwarizmi Capital,Saudi Arabia
Mohammed,Alkaff Alhashmi,Co-Founder,Islamic Coin,Saudi Arabia
Faisal,Alkassim,Senior Vice President,Public Investment Fund (PIF),Saudi Arabia
Mohammed,AlKhalil,Chairman,Alujain Corp.,Saudi Arabia
Ammar,AlKhudairy,Co-Founder,Amwal Capital Partners,Saudi Arabia
Omar,Almajdouie,Founding Partner,Raed Ventures,Saudi Arabia
Omar,Almohammady,Chief Executive Officer,BATIC Investments & Logistics Company,Saudi Arabia
Ibrahim,Almojel,Founding Partner,Khwarizmi Holding,Saudi Arabia
Mohammed,Alotaibi,Acting Head,RDIA,Saudi Arabia
Jalal,Alotaibi,Executive Manager,ACWA Power,Saudi Arabia
Abdullah,Alothman,CEO,Link social network,Saudi Arabia
Osama,Alraee,Co-Founder & CEO,Lendo,Saudi Arabia
Saleh,Alrasheed,Chief Executive Officer,Royal Commission for Makkah City & Holy Sites,Saudi Arabia
Jomana,Alrashid,Chief Executive Officer & Board Member,SRMG,Saudi Arabia
Raed,Alrayes,CEO,Dussur,Saudi Arabia
Saud,Alsabhan,Vice Governor,MonshaatSA,Saudi Arabia
Manar,AlSagob,Co-founder/Board Member,Faseel,Saudi Arabia
Qusai A.,AlSaif,CEO and Managing Director,Sadu Capital,Saudi Arabia
Khalid,AlSaleh,CEO,Riyadh Valley Company (RVC),Saudi Arabia
Prince Alwaleed Bin Talal,Alsaud,Founder & Chairman,Kingdom Holding Company,Saudi Arabia
Turki,Alshabanah,Former Minister of Media,Government of Saudi Arabia,Saudi Arabia
Saeed,Alshihri,VP of Energy and Industry Sector,KACST,Saudi Arabia
Abdulrahman,AlSuhyami,Managing Director,Saudi Arabian Packaging Industry W.L.L - SAPIN,Saudi Arabia
HRH Prince Sarah,Althari,Founder and Managing Partner,The Althari Group (TAG),Saudi Arabia
Abdul Mohsen,Altouq,CEO,Altouq Group,Saudi Arabia
HE Mohammed Al Sheikh,Alula,Advisory Office - H.E the Minister,Ministry of Industry and Mineral Resources,Saudi Arabia
Khaled,Alwaleed Alsaud,Founder and CEO,KBW Ventures,Saudi Arabia
Hisham,Attar,Managing Partner,Thara Investments,Saudi Arabia
Ali,Ayub,Chief Portfolio Officer,Vision Invest (Vision International Investment Company),Saudi Arabia
Abdul,Aziz Ai-Hassan,,FUTURE LEADERS GROUP,Saudi Arabia
Hamza,B. Alkholi,Chairman and CEO,Hamza Alkholi Group,Saudi Arabia
Ihsan,Bafakih,Governor,Real Estate General Authority,Saudi Arabia
Kamal,Bahamdan,Founder,Safanad,Saudi Arabia
HRH Dr. Hamza,Bahieldin Al Kholi,Chairman,Al-Kholi Group,Saudi Arabia
Hassan,Bahloul,"MD, Head of Investment Placement & Business Development",Sidra Capital,Saudi Arabia
Rehan,Baig,"Chief Corporate Affairs, Strategy & Sustainabilty Officer",ACWA Power,Saudi Arabia
Khaled,Balghunaim,Head of Private Equity,Jada Fund of Funds,Saudi Arabia
Reema,Bandar Al-Saud,Ambassador of the Kingdom of Saudi Arabia to the United States of America,Saudi Arabian Embassy,Saudi Arabia
Fatmah,Baothman,CEO,Abdullah AlOthaim Investment,Saudi Arabia
Kazbek,Bassiev,Sr. VP,Vision Invest,Saudi Arabia
Waleed,Basuliman,General Manager,Ministry of Industry and Mineral Resources,Saudi Arabia
HRH Bakyt,Batyrshayev,Ambassador,The Republic Of Kazakhstan Ambassy in Riyadh,Saudi Arabia
William Bao,Bean,Managing General Partner,Orbit Startups,Saudi Arabia
H.E. Ida,Beerhalter,Co Head,IOME,Saudi Arabia
Graham David,Bell,Managing Partner,Bridge Partners,Saudi Arabia
His Royal Highness Prince Nayef,bin Abdulaziz Al Saud,Deputy Prime Minister and the Minister of Interior,Government of Saudi Arabia,Saudi Arabia
HH Prince Ahmad Bin Khalid,Bin Abdullah,Member of the House of Saud,,Saudi Arabia
Saud,Bin Abdullah Bin Thenayan Al-Saud,Chairman,Royal Commission for Jubail and Yanbu,Saudi Arabia
Khalid,Bin Bader Al Saud,Managing Director,Private Family Office,Saudi Arabia
Faisal,Bin Bandar Bin Sultan Al Saud,Chairman,Saudi Esports Federation,Saudi Arabia
HH Prince Mishaal,bin Saud Al Saud,Member,House of Saud,Saudi Arabia
Yaser,Binmahfouz,Chairman of the Board,SEDCO Holding,Saudi Arabia
Ghazi,Binzagr,Member of The Shura Council,The Shura Council_SA,Saudi Arabia
Osama,Bukhari,Member of the Management Board,Alfaris International Group,Saudi Arabia
Sheikh Khaldoon,Bushnaq,Co-Founder,Alma Health,Saudi Arabia
JamilAl,Dandany,Director,KAUST,Saudi Arabia
Fahad Al,Dhubaib,Senior Vice President of Strategy & Market Analysis,Aramco,Saudi Arabia
Robert,E. Willen,Managing Partner and Chairman,Kearney,Saudi Arabia
Mohammed,El Khereiji,Chairman,Global Group of Companies,Saudi Arabia
Munir,Eldesouk,President,King Abdulaziz City for Science and Technology,Saudi Arabia
Mahmoud,Elkady,CEO -MEA Region,QHSSE PLATFORM,Saudi Arabia
H.E. Amr,Enany,Vice Chairman,Enany Group of Companies,Saudi Arabia
Hani,Enaya,Chief Investment Officer,Sanabil Investments,Saudi Arabia
Ehsan,F. AbdulJawad,Chief Executive Officer,GlobeGroup,Saudi Arabia
Sultan,Fahd Salman Al Saud,Executive Chairman,Eirad Group,Saudi Arabia
Princess Noura ,Faisal Al Saud,CEO,Culture House,Saudi Arabia
Prince,Faisal Bin Bandar Bin Sultan Al Saud,Chairman,Saudi Esports Federation,Saudi Arabia
Ammar Soliman,Fakeeh,Chairman,Dr. Soliman Fakeeh Hospital / Fakeeh Care Group,Saudi Arabia
Mazen Soliman,Fakeeh,President & CEO,Dr. Soliman Fakeeh Hospital / Fakeeh Care Group,Saudi Arabia
Hisham Al,Falih,Co-Founder & CEO,Lean,Saudi Arabia
Rayan,Fayez,Deputy CEO,NEOM,Saudi Arabia
Mirik,Gogri Biomass,Sustainability Investor,Spectrum Impact,Saudi Arabia
Amin,H.Nasser,President and CEO,Saudi Aramco,Saudi Arabia
Farid,Habib,Investment Management,Public Investment Fund (PIF),Saudi Arabia
Arun,Hari,Head,Saudi British Bank,Saudi Arabia
Zaki A.,Hasanain,Founder,Benchmark,Saudi Arabia
Mazen,Hazwani,Director,,Saudi Arabia
David,Henry,CEO,Misk City,Saudi Arabia
Brent,Hire,Board Member,AMACO ·,Saudi Arabia
Lubna,Hussain,"Partner, Integrated Government Specialist",Consulum,Saudi Arabia
Abdullah,I. Al-Hobayb,Businessman,ABB,Saudi Arabia
Abdallah,I. Saade,Chief Executive Officer,Alawwal INVEST,Saudi Arabia
KareemTalal,Idriss,Chief Executive Officer,electric house,Saudi Arabia
Majid,Iraqui,Managing Director,chez TAQA Africa,Saudi Arabia
Hassan,Jameel,Deputy President and Vice Chairman,Abdul Latif Jameel,Saudi Arabia
Yousuf Mohammad,Jamjoom,Chairman,Jamjoom Pharma / Jamjoom Group,Saudi Arabia
HE Mohammed Al,Jasser,Chairman,Islamic Development Bank (IsDB) Group,Saudi Arabia
Fariha Ansari,Javed,Partner,Stride Ventures,Saudi Arabia
Khaled,Juffali,Chairman,Khaled Juffali Company,Saudi Arabia
Yassir,K. Sindi,Executive Chairman,Al Faris Food Industries Ltd.,Saudi Arabia
Morris,Kahn,Founder,Aurec Group,Saudi Arabia
Abdul,Kanoo,Deputy Chairman,Yusuf Bin Ahmed Kanoo,Saudi Arabia
Ali,Keridy,CEO & Co Founder,DigitalHarbor,Saudi Arabia
Suhel,Khan,Ambassador of India to the Kingdom of Saudi Arabia,Embassy of India,Saudi Arabia
Joseph,Kirikian,Chief Investment Officer,TASARU Mobility Investments,Saudi Arabia
Nabeel Abdulqadir,Koshak,CEO & Board Member,SVC,Saudi Arabia
Maj Vineet,Kumar,Founder & Global President,CyberPeace Foundation,Saudi Arabia
Ryan,Lefers,Founder,iyris,Saudi Arabia
Basil,M. Al Ghalayini,Chairman and CEO,BMG Financial Group,Saudi Arabia
Badr,M. Al-Aiban,Director,Delta International,Saudi Arabia
Said,M. Baarma,Chairman,Amsad Architectural Associates,Saudi Arabia
Mazen,M. Batterjee,Managing Director,Batterjee Pharma,Saudi Arabia
Ayman,Maamoun Tamer,Chairman,Tamer Group,Saudi Arabia
Husam Al,Madani,Managing Director,THE RIG.,Saudi Arabia
Abdullah,Majdili,Deputy CEO,Confidential Government,Saudi Arabia
Javier Sanchez-,Marco,Founding Partner,Obersis Ventures,Saudi Arabia
Omar,Midani,CEO,Vision Invest,Saudi Arabia
Ahmed,Mohtaseb,EVP Corporate Development & Strategy,Sela Sports,Saudi Arabia
Abdulrahman,Moulay AlBizioui,Partner,EY,Saudi Arabia
Hazem Al,Mubarak,Managing Partner,Horton International,Saudi Arabia
M.M.,Murugappan,Former Chairman,Murugappa Group,Saudi Arabia
Omar,Najjar,Deputy CEO,MiSK Foundation (Prince Mohammed bin Salman bin Abdulaziz Foundation),Saudi Arabia
Ibrahim,Neyaz,CEO,National Technology Development Program - Harvard Business School alumni,Saudi Arabia
Nabil,O. AlKhowaiter,Director Global Business Development,Worley energy,Saudi Arabia
Taha,O. Nazer,Chief Financial Officer,Cruise Saudi,Saudi Arabia
Sultan,Olayan,Director,The Olayan Group,Saudi Arabia
Basmah,Omair,Founder/CEO,Behavioral Management Consulting Co,Saudi Arabia
Ranjith,Powell,Head of Ports & Transport Infrastructure,Public Investment Fund (PIF),Saudi Arabia
Princess,Reema Bandar Al Saud,11th Ambassador of Saudi Arabia to the United States,-,Saudi Arabia
Daniel,Reime,Director,aramco digital,Saudi Arabia
Abdulwahab,S Albabtain,Executive Director,Al Babtain Group,Saudi Arabia
Ahmed,S. Banaja,CEO,Saudi Economic and Development Co. (SEDCO),Saudi Arabia
Abdallah,S. Jum'ah,Chairman,The Saudi Investment Bank (SAIB),Saudi Arabia
Lubna,S. Olayan,CEO and Deputy Chair,Olayan Financing Company,Saudi Arabia
Hassan,S. Yamani,CEO,Anaam International Holding Group,Saudi Arabia
Mohamed,Saeed Qasmi,Chairman,Ghaf Investments,Saudi Arabia
Olivier,Sage,CFO,TONOMUS,Saudi Arabia
Sultan,Salah Al-Hejailan,Partner and Managing Attorney,LFSH,Saudi Arabia
Shaima,Saleh AlHusseini,Managing Director,Saudi Sports for All Federation,Saudi Arabia
Alex,Sarac,Partner,Addleshaw Goddard,Saudi Arabia
Manu,Sawhney,Chief Executive Officer,International Cricket Council,Saudi Arabia
Amjed,Shacker,Acting Chief Executive Officer,Saudi Convention & Exhibition General Authority,Saudi Arabia
Mohammed,Shafiq,Chief Executive Officer,SEMCO GLOBAL ENTERPRISE,Saudi Arabia
Rashed,Sharif,Chief Executive Officer,SNB Capital,Saudi Arabia
Naman,Sharma,Partner,A.T. Kearney Middle East Ltd.,Saudi Arabia
Ziyad,Shiha,Director/Board Member,NATIONAL PETROCHEMICAL COMPANY,Saudi Arabia
Mahmoud,Sidani,Executive Chairman,Unigaz & Sidani Group,Saudi Arabia
Atul,Singh,Group President,The Coca-Cola Company,Saudi Arabia
Faisal Al,Solami,Chairman,Edama,Saudi Arabia
MunaAbu,Sulayman,Partner,TRANSFORM VC,Saudi Arabia
Prince,Sultan Al Saud,CEO,SIDF,Saudi Arabia
Prince,Sultan Fahd Salman,Executive Chairman,Eirad Holding Group,Saudi Arabia
Ayman,Tamer,Chairman & Partner,Tamer Group,Saudi Arabia
Abdulrahman,Tarabzouni,Founder & CEO,STV,Saudi Arabia
HRH Noura bint,Turki Al Saud,Founding Partner,AEON strategy,Saudi Arabia
HE Mohammad Al,Tuwaijri,Saudi Arabian politician,,Saudi Arabia
Andrei,Ugarov,Managing Director Credit Advisory,IMPACT46,Saudi Arabia
Vishal,Wanchoo,CEO,Oxagon,Saudi Arabia
Sheikh Mohammed,Y Khereiji CH,CEO,Engineer Holding Group,Saudi Arabia
Abdullah,,Founder and CEO,Lucidya,Saudi Arabia
Fabián ,Alejandro de Paul,Director / Board Member,Banco Macro S.A.; Operating Partner at Pampa Capital,Argentina
Pablo,Borboroglu,Co-founder and co-chair,IUCN Species Survival Commission (SSC) Penguin Specialist Group,
Jorge,Born Jr.,CEO & President,Consult Y Asociados SA,Argentina
Alejandro,Bulgheroni,President & Owner,Pan American Energy / Bridas Corp,Argentina
Marcos,Bulgheroni,Group CEO,Pan American Energy,Argentina
Wences,Casares,Entrepreneur and former CEO,Xapo,
Eduardo,Costantini,Founder & Chairman,Consultatio / Real Estate / Art Institutions,Argentina
Eduardo,Eurnekian,Chairman & Major Investor,Corporación América,Argentina
Delfin,Jorge Ezequiel Carballo,Former Chairman (stepped down in 2023),Banco Macro (Argentina),Argentina
Carlos ,Leone,Former executive; “ex-ejecutivo de Acindar”,Acindar Industria Argentina de Aceros S.A.,Argentina
Andrés ,M. von Buch,President,Chaguar S.A.,Argentina
Leo,Martellotto,Chief Development Officer,JA Worldwide - Harvard Alumnus (PLDA),
Luis ,Pagani,Chairman,Arcor Group,Argentina
Camilo,Angarita,President,UPS,Colombia
Juan ,Carlos Mora,CEO,Bancolombia,Colombia
Luis,Carlos Sarmiento,Founder & Chairman,Grupo Aval,Colombia
Clara,Colbert,Founder and Executive Director,Fundación Escuela Nueva Volvamos a la Gente,Colombia
Vicky ,Colbert De Arboleda,Founder and Executive Director ,Escuela Nueva Foundation,Colombia
Beatriz,Davila de Santo Domingo,Family principal & philanthropist,Santo Domingo Group / Fundación Santo Domingo,Colombia
Carlos ,Julio Ardila,Board Member ,Grupo Ardila Lülle,Colombia
Alejandro ,Santo Domingo,Managing Director ,Quadrant Capital Advisors,Colombia
David,Velez,Co-Founder & CEO,Nubank (Nu Holdings Ltd.),Colombia
